player,team,win_total,team_ou,vegas_flag,context_note
Josh Allen,BUF,10.5,OVER,BOOST,BUF 10.5 wins — elite offense — Allen SF value maximized
Keon Coleman,BUF,10.5,OVER,BOOST,BUF 10.5 wins — Allen connection — WR2 in elite offense
James Cook,BUF,10.5,OVER,BOOST,BUF 10.5 wins — strong RB situation in winning offense
Dalton Kincaid,BUF,10.5,OVER,BOOST,BUF 10.5 wins — TE in Allen-led high-scoring offense
Lamar Jackson,BAL,11.5,OVER,BOOST,BAL 11.5 wins — HIGHEST win total — elite SF QB1 value
Zay Flowers,BAL,11.5,OVER,BOOST,BAL 11.5 wins — premium WR situation in elite offense
Kyle Hamilton,BAL,11.5,OVER,BOOST,BAL 11.5 wins — IDP DB in top-tier defense
Isaiah Likely,BAL,11.5,OVER,BOOST,BAL 11.5 wins — TE premium target in high-octane offense
Roquan Smith,BAL,11.5,OVER,BOOST,BAL 11.5 wins — elite LB in top defense — IDP BOOST
Puka Nacua,LAR,11.5,OVER,BOOST,LAR 11.5 wins tied for highest — McVay offense — elite WR target
Kyren Williams,LAR,11.5,OVER,BOOST,LAR 11.5 wins — elite RB situation with McVay scheme
Jared Verse,LAR,11.5,OVER,BOOST,LAR 11.5 wins — young EDGE in excellent defensive situation
Jahmyr Gibbs,DET,10.5,OVER,BOOST,DET 10.5 wins — elite RB age 24 — premium offense
Jaxon Smith-Njigba,SEA,10.5,OVER,BOOST,SEA 10.5 wins — WR1 in rising offense
Aidan Hutchinson,DET,10.5,OVER,BOOST,DET 10.5 wins — IDP EDGE elite — best defensive situation
Jack Campbell,DET,10.5,OVER,BOOST,DET 10.5 wins — IDP LB elite — tackle monster in top defense
Amon-Ra St. Brown,DET,10.5,OVER,BOOST,DET 10.5 wins — reliable WR1 in high-powered offense
Jalen Hurts,PHI,10.5,OVER,BOOST,PHI 10.5 wins — elite dual-threat in winning program
Abdul Carter,PHI,10.5,OVER,BOOST,PHI 10.5 wins — rookie IDP EDGE in elite defensive scheme
Zack Baun,PHI,10.5,OVER,BOOST,PHI 10.5 wins — LB in elite defense — top IDP situation
Josh Sweat,PHI,10.5,OVER,BOOST,PHI 10.5 wins — EDGE in elite defense — IDP BOOST
Joe Burrow,CIN,10.5,OVER,BOOST,CIN 10.5 wins — elite SF QB with Chase
Ja'Marr Chase,CIN,10.5,OVER,BOOST,CIN 10.5 wins — elite WR in high-powered passing game
Trey Hendrickson,CIN,10.5,OVER,BOOST,CIN 10.5 wins saves near-term value but age 31 concern
Patrick Mahomes,KC,10.5,OVER,BOOST,KC 10.5 wins — elite SF QB despite age 30 concern
Isiah Pacheco,KC,10.5,OVER,BOOST,KC 10.5 wins — RB in winning offense
Rashee Rice,KC,10.5,OVER,BOOST,KC 10.5 wins — WR in Mahomes offense — ACL recovery watch
Xavier Worthy,KC,10.5,OVER,BOOST,KC 10.5 wins — young WR in elite offense — GEM
Justin Herbert,LAC,10.5,OVER,BOOST,LAC 10.5 wins — elite SF QB in rising offense
Omarion Hampton,LAC,10.5,OVER,BOOST,LAC 10.5 wins — young RB in premium situation
Laiatu Latu,LAC,10.5,OVER,BOOST,LAC 10.5 wins — EDGE stash in elite defensive scheme
Derwin James,LAC,10.5,OVER,BOOST,LAC 10.5 wins — DB in top-tier defense — IDP elite
Brock Purdy,SF,10.5,OVER,BOOST,SF 10.5 wins — system QB risk but excellent team context
Fred Warner,SF,10.5,OVER,BOOST,SF 10.5 wins — LB in elite defense — IDP BOOST
Talanoa Hufanga,SF,10.5,OVER,BOOST,SF 10.5 wins — DB in elite defense — IDP value
Jordan Love,GB,10.5,OVER,BOOST,GB 10.5 wins — young QB in elite supporting cast
Quay Walker,GB,10.5,OVER,BOOST,GB 10.5 wins — LB in winning defense — IDP BOOST
Xavier McKinney,GB,10.5,OVER,BOOST,GB 10.5 wins — DB in solid defense — IDP value
